28
t_index    tf-idf
619        0.26707523486222934
1259       0.13556806916304942
1299       0.08330021722144922
1643       0.09103293180284762
1742       0.07824842187482994
2207       0.10405116568352168
2946       0.21758272136610515
3103       0.09486755001541242
3142       0.10157452652955518
6350       0.3947711638630946
6796       0.09762862738018928
7398       0.055545475844281614
7462       0.20856502053662343
8243       0.09711860661328349
8803       0.12284068132110383
9562       0.20736494852676188
11273      0.08919018169029491
12113      0.14289784305197675
12804      0.16809020786998094
12859      0.2790033314795961
12861      0.42126803309225297
12902      0.08873683030203401
13001      0.2727904926038804
13151      0.12931895769128715
13784      0.029121275106610264
14072      0.1694767097606402
14200      0.2823249817239063
14216      0.10837992153451347
