45
t_index    tf-idf
187        0.09329143716102452
537        0.15254638941013102
947        0.11343646190279569
983        0.09982921983131975
1480       0.2923195482354945
1643       0.06811194365849213
2065       0.2706048975168889
2180       0.11947465665055955
2207       0.1557046882766609
2238       0.16178039468478003
2266       0.2508764544203347
3046       0.1659726853504627
3103       0.14196210302581572
4856       0.08525621209069148
4951       0.08746718805238995
6292       0.06639397266755122
6679       0.10308780861942274
7188       0.04981289478674704
7328       0.2706048975168889
7398       0.04155979870431349
8032       0.07519590470197036
8106       0.0921841582677104
8288       0.09920069147415718
8427       0.07660986269308713
9010       0.04230849976464314
9147       0.11343646190279569
9173       0.13717717775011343
9793       0.09920069147415718
9927       0.03707971046420895
9957       0.11947465665055955
10034      0.24578457533908768
10075      0.19218386835497736
11020      0.0797719863685832
11115      0.2681764159747759
11127      0.06553186792304241
12440      0.2182577505101196
12697      0.09003615863341882
12915      0.07343127218233854
13207      0.10162769522045638
13515      0.0677639014233299
13519      0.08383147981413962
13784      0.010894445614586048
14216      0.08109117176691505
14217      0.3440224370772494
14224      0.14925770242734526
