138
t_index    tf-idf
870        0.071234282272484
1079       0.03819545580486223
1266       0.019054110068101218
1299       0.026749970650515334
1507       0.04089614102937073
1556       0.05290165634734434
1643       0.02923315610909967
1742       0.05025540288895846
1958       0.27438826273837363
1962       0.060613932177161094
2016       0.050889021046673005
2257       0.10767436902019292
2564       0.03518912325766316
2785       0.09303326590528087
2788       0.08173208498536853
2802       0.03980116426733604
2830       0.07961402732599195
2883       0.07532139347802483
2975       0.04052530832193336
3409       0.060574703215279864
3446       0.022524677005506658
3534       0.053758927132427824
3547       0.09419681894502421
3559       0.05397834816213683
3572       0.09066224827415141
3625       0.1604710854927111
3772       0.054199889234621754
3849       0.061474007600817775
3910       0.08173208498536853
4000       0.04921731817714895
4229       0.05290165634734434
4321       0.07031698704834041
4511       0.029840590906583874
4547       0.06858565001613431
4557       0.08173208498536853
4587       0.11938725455347035
4601       0.0322735412153168
4637       0.04782723666440277
4746       0.06987174349293142
4756       0.05772304399867407
4773       0.09419681894502421
4886       0.09066224827415141
4910       0.041527842761812456
4922       0.09178097368939832
4977       0.0895955758270633
5102       0.06776665857654679
5196       0.07830342361422962
5388       0.06372063199519737
5731       0.04816693654611139
5735       0.026350030465396315
5843       0.0399202778994974
5891       0.07218980897297404
5916       0.017171513569356044
6189       0.045603668590979564
6282       0.04782723666440277
6303       0.09689750416953273
6350       0.12677178282661675
6620       0.07218980897297404
6748       0.1604710854927111
6750       0.05354158595419891
7228       0.03414454284680244
7398       0.017837166554481063
7682       0.07380664228344717
7707       0.04851174488782256
7782       0.10026191573915738
8262       0.28900161927666834
8408       0.052692254685339716
8458       0.047492496082513776
8659       0.09837732874254136
8749       0.02303361011445211
8759       0.05230529253671157
9008       0.04921731817714895
9026       0.0742293145766735
9084       0.02835839489346833
9103       0.026284046757626342
9277       0.08666444320926392
9302       0.09178097368939832
9397       0.07170706856108658
9524       0.01876748980319483
9673       0.03721959267498889
9808       0.05248474808698563
9853       0.027993431349068388
9982       0.06547181266570526
10007      0.1016585341545206
10187      0.061170303523403746
10485      0.13022142701588707
10591      0.02303361011445211
10619      0.0551080999409656
10622      0.05887545761256222
10639      0.05704013254440706
10650      0.09995928855180296
10702      0.16496786682349354
10777      0.06776665857654679
11017      0.009328471842034227
11280      0.04782723666440277
11293      0.08029853554941176
11357      0.05833591924587891
11480      0.1604710854927111
11498      0.1604710854927111
11689      0.11279089950032731
11738      0.09915683466982134
11869      0.10374652649150438
12043      0.12812066375381198
12089      0.014729842291051254
12113      0.04588839303384259
12174      0.02487846722291359
12192      0.08666444320926392
12405      0.032018295656071484
12414      0.053758927132427824
12540      0.026817310853473778
12734      0.11585268388259755
12759      0.012821143327878455
12762      0.1604710854927111
12767      0.04311895416673601
12769      0.03608065630856419
12845      0.07380664228344717
12902      0.08548744596507331
12938      0.10795669632427365
13034      0.1016585341545206
13038      0.06273072333800789
13171      0.045030612941680634
13350      0.10349385922267576
13372      0.06697591391925235
13376      0.024570686459094188
13620      0.06336465774882144
13646      0.3209421709854222
13720      0.09550742265678655
13784      0.014027452995767615
13824      0.0311059780337333
13825      0.04004001353777938
13865      0.0551080999409656
13924      0.071234282272484
14060      0.07706369885419834
14117      0.04699937336452789
14124      0.06884948344426156
14134      0.08406589322100837
14209      0.018578380915780734
14258      0.04903887896822737
