t_index         term            df
441             25yearold       1
442             26              43
443             26000           3
444             264             1
445             26484           1
446             267             1
447             269             1
448             26yearold       1
449             27              15
450             270             8
451             271             1
452             275             6
453             27yearold       6
454             28              21
455             2800            1
456             28000           7
457             2829            1
458             283             2
459             2834            2
460             2850            1
461             28th            1
462             28yearold       1
463             29              33
464             293             3
465             293strong       3
466             295             1
467             29yearold       3
468             2hour           4
469             2inch           1
470             2nd             3
471             2seed           1
472             2storey         1
473             2year           3
474             2yearold        7
475             3               93
476             30              110
477             300             27
478             3000            16
479             30000           24
480             300000          12
481             300yardswid     1
482             30303           1
483             3040            2
484             308             3
485             30andov         1
486             30by40foot      2
487             30hour          1
488             30minut         1
489             30straight      1
490             30year          1
491             30yearold       9
492             31              22
493             310             2
494             315             2
495             31521           1
496             316             2
497             31st            1
498             31yearold       3
499             32              15
500             320             1
501             32000           2
502             325             1
503             327             2
504             33              38
505             330             3
506             33000           1
507             332             1
508             333             1
509             335             6
510             33footlong      1
511             33rd            1
512             34              16
513             34000           2
514             345             5
515             348             1
516             34foot          2
517             34yearold       2
518             35              54
519             350             15
520             350bed          1
521             357             2
522             357calib        2
523             35year          3
524             35yearold       1
525             36              49
526             36000           1
527             37              26
528             370             1
529             3700            1
530             372             3
531             3750            1
532             38              15
533             38248           1
534             387             1
535             38th            2
536             38yearold       4
537             39              63
538             39yearold       4
539             3day            1
540             3foothigh       1
541             3rd             9
542             3to2            1
543             3yearold        4
544             4               57
545             40              97
546             400             23
547             4000            7
548             40000           1
549             400000          3
550             403             2
551             4030            1
552             40bed           1
553             40by40          2
554             40by40feet      1
555             40by40foot      13
556             40foot          9
557             40footby40foot  2
558             40footlong      1
559             40man           1
560             40member        1
561             40page          1
562             40th            1
563             40yearold       6
564             41              16
565             41000           1
566             415             1
567             418             3
568             41st            1
569             41yearold       4
570             42              24
571             421             1
572             426             1
573             42day           1
574             43              13
575             435             3
576             4350            2
577             43rd            7
578             43yearold       1
579             44              18
580             440             1
581             440000          2
582             4440            1
583             44yearold       4
584             45              29
585             4500            1
586             45000           4
587             456             2
588             46              27
589             46000           1
590             466             1
591             4692            3
592             47              13
593             47101968        1
594             47242846        1
595             473385          2
596             475             1
597             475000          1
598             47minut         2
599             47yearold       1
600             48              23
601             480             1
602             4800            1
603             48000           1
604             48421815        1
605             48591357        1
606             48hour          1
607             48th            1
608             49              3
609             49000           1
610             4949            1
611             49560           1
612             4all            2
613             4point          3
614             4seed           1
615             4time           1
616             4yearold        9
617             5               112
618             50              90
619             500             26
620             5000            22
621             50000           8
622             500000          17
623             500footlong     1
624             500year         1
625             5048            3
626             5049            1
627             505             1
628             5050            6
629             505foot         10
630             505footlong     1
631             50calib         1
632             50minut         1
633             50year          3
634             50yearold       2
635             51              24
636             51000           2
637             515             4
638             5150            1
639             51st            2
640             51yearold       1
641             52              23
642             52nd            1
643             53              22
644             5347            1
645             539947          1
646             54              36
647             54000           1
648             543000          2
649             5446            7
650             54th            1
651             54yearold       7
652             55              12
653             550             2
654             55degre         1
655             55minut         2
656             55year          8
657             55yearold       4
658             56              12
659             56000ton        1
660             565             1
661             56yearold       7
662             57              13
663             57yearold       1
664             58              22
665             580             1
666             58000           11
667             584foot         1
668             58year          1
669             59              16
670             59000           1
671             5foot2          5
672             5foot8inch      1
673             5footlong       1
674             5magnitud       5
675             5th             24
676             5yearold        6
677             6               74
678             60              72
679             600             18
680             6000            9
681             60000           3
682             600000          3
683             6000mile        1
684             600acr          1
685             600th           1
686             60189           1
687             6072            3
688             609             2
689             60foot          1
690             60mile          1
691             60squaremil     1
692             61              37
693             615             1
694             6164            1
695             6181            1
696             62              65
697             620             1
698             6200            1
699             6262            1
700             627             1
701             62yearold       11
702             63              46
703             630             3
704             64              58
705             6400            2
706             6444            1
707             646             5
708             648             1
709             64yearold       3
710             65              26
711             650             2
712             65000           1
713             651             2
714             653             1
715             66              16
716             660             1
717             66yearold       4
718             67              16
719             672             1
720             675             3
721             677             1
722             67member        1
723             67yearold       1
724             68              5
725             680             1
726             682             1
727             683             2
728             683rd           1
729             687             1
730             68yearold       3
731             69              3
732             6all            1
733             6love           1
734             6magnitud       9
735             6th             1
736             7               102
737             70              26
738             700             9
739             7000            16
740             70000           5
741             700000member    1
742             701             1
743             70200           1
744             7035190092      1
745             7036845528      1
746             70yearold       1
747             71              1
748             710             2
749             711             2
750             7162            3
751             72              7
752             720             1
753             726             2
754             728             1
755             72yearold       1
756             730             3
757             733             3
758             74              6
759             740             1
760             7400            1
761             745             1
762             747             1
763             75              36
764             750             3
765             7500            1
766             750000          2
767             752             1
768             7555022         1
769             75horsepow      1
770             75yearold       3
771             76              31
772             7600            3
773             76000           1
774             762             1
775             77              3
776             7729            1
777             776             1
778             777200          1
779             7777            1
780             78              6
781             780             1
782             780000          1
783             78day           4
784             79              14
785             79yearold       2
786             7foot           1
787             7th             2
788             7yearold        1
789             8               73
790             80              23
791             800             9
792             8000            12
793             80000           3
794             800000          2
795             8000ton         1
796             8003683202      1
797             8018            1
798             8059644767      1
799             80yearold       2
800             81              3
801             81yearold       3
802             83              3
803             830             3
804             8300            5
805             8300ton         1
806             832             1
807             8320            1
808             84              1
809             845             1
810             846             2
811             85              3
812             850             6
813             85260           1
814             86              12
815             8600ton         8
816             86th            2
817             87              1
818             88              1
819             8883469867      1
820             8inch           2
821             8monthold       1
822             8seed           1
823             8th             5
824             8yearold        2
825             9               65
826             90              28
827             900             1
828             9000            2
829             90069           1
830             903             1
831             90degre         1
832             91              2
833             91000           1
834             9100ton         2
835             911             5
836             918             1
837             92              1
838             925000          1
839             92nd            1
840             93              3
841             930             7
842             93117           1
843             93degre         2
844             94              1
845             95              6
846             95degre         1
847             96              5
848             97              8
849             97yearold       1
850             98              2
851             98133           1
852             98440           2
853             98481           1
854             989             1
855             99              8
856             99day           1
857             99year          1
858             99yearold       1
859             9magnitud       6
860             9point          1
861             9th             3
862             9yearold        1
863             aan             1
864             aaron           2
865             ab              1
866             aback           1
867             abahd           1
868             abandon         37
869             abat            1
870             abc             49
871             abcnew          3
872             abdallah        2
873             abdel           3
874             abdomin         2
875             abduct          2
876             abdul           5
877             abdulkarim      11
878             abdullah        40
879             abdurahman      1
880             aberr           1
881             abhad           1
882             abhiyan         1
883             abhorr          2
884             abid            7
885             abidjan         36
886             abijan          1
887             abil            32
888             abl             105
889             ablaz           3
890             abnorm          1
891             aboard          93
892             abobo           3
893             abolish         4
894             abomin          1
895             abort           7
896             abou            1
897             abound          4
898             abov            43
899             abovo           1
900             abraham         10
901             abreast         1
902             abrego          1
903             abroad          52
904             abrog           2
905             abrupt          1
906             abruptli        4
907             abscam          1
908             absenc          6
909             absent          4
910             absente         7
911             absentia        3
912             absolut         43
913             absorb          9
914             abstain         1
915             abstent         1
916             absurd          2
917             abu             7
918             abund           2
919             abus            28
920             abuseofpow      1
921             abuzaakouk      1
922             abyan           1
923             abyssinian      1
924             academ          6
925             academi         4
926             academia        1
927             acced           1
928             acceler         4
929             accent          2
930             accentu         2
931             accept          124
932             access          41
933             accid           32
934             accident        3
935             accommod        11
936             accompani       33
937             accomplic       5
938             accomplish      10
939             accord          145
940             accordingli     1
941             accordion       1
942             account         125
943             accredit        1
944             accumul         2
945             accur           14
946             accuraci        1
947             accus           131
948             accustom        2
949             ace             27
950             acerb           2
951             achiev          31
952             acid            2
953             acknowledg      55
954             acolyt          1
955             acosta          1
956             acquaint        1
957             acquiesc        1
958             acquir          5
959             acquisit        1
960             acquit          5
961             acquitt         3
962             acrimoni        2
963             acrobat         5
964             acronym         1
965             across          119
966             acrosstheboard  1
967             act             135
968             action          95
969             activ           89
970             activist        19
971             actor           4
972             actress         2
973             actual          66
974             ad              119
975             adam            8
976             adapt           5
977             add             18
978             addali          1
979             adden           1
980             addit           74
981             address         64
982             adem            1
983             aden            169
984             adenabyan       5
985             adenbas         1
986             adequ           7
987             adher           4
988             adiksa          1
989             adjac           4
990             adjam           2
991             adjoin          3
992             adjourn         3
993             adjust          7
994             adlai           1
995             adm             44
996             admen           1
997             administ        9
998             administr       115
999             administrationmedi 1
1000            admir           38
1001            admiralti       1
1002            admiringli      1
1003            admiss          2
1004            admit           40
1005            ado             2
1006            adob            1
1007            adolesc         2
1008            adopt           17
1009            adorn           1
1010            adoubi          1
1011            adra            1
1012            adrain          1
1013            adrenalin       1
1014            adriat          1
1015            adrift          4
1016            adult           10
1017            advanc          66
1018            advani          1
1019            advantag        21
1020            adventist       1
1021            adventur        2
1022            advers          2
1023            adversari       2
1024            advertis        12
1025            advic           6
1026            advis           83
1027            advisor         10
1028            advisori        2
1029            advoc           13
1030            advocaci        2
1031            aegi            5
1032            aerial          3
1033            aeroflot        1
1034            af              1
1035            affabl          1
1036            affair          48
1037            affect          29
1038            affection       1
1039            affili          6
1040            affirm          6
1041            afflict         1
1042            afford          7
1043            affront         2
1044            afghan          15
1045            afghanarab      1
1046            afghanbas       3
1047            afghanistan     46
1048            afi             2
1049            afibia          1
1050            afield          1
1051            afir            2
1052            aflcio          2
1053            afloat          13
1054            afoul           1
