t_index         term            df
2735            censor          2
2736            censorship      2
2737            cent            1
2738            centcom         2
2739            center          140
2740            centercourt     4
2741            centerleft      1
2742            centerpiec      2
2743            centigrad       1
2744            centimet        1
2745            central         84
2746            centrist        6
2747            centuri         24
2748            ceo             1
2749            ceremoni        52
2750            cerf            9
2751            cerna           3
2752            certain         36
2753            certainli       56
2754            certainti       4
2755            certif          3
2756            certifi         3
2757            cesar           2
2758            cessat          1
2759            cessna          7
2760            cetera          1
2761            cetinj          1
2762            cha             1
2763            chad            1
2764            chadwick        2
2765            chafe           3
2766            chagrin         1
2767            chain           10
2768            chair           17
2769            chairman        55
2770            chairmen        3
2771            chalk           2
2772            challeng        84
2773            chamber         16
2774            chamberlain     2
2775            chameleon       1
2776            champ           9
2777            champion        55
2778            championship    7
2779            chanc           99
2780            chancellor      5
2781            chanda          3
2782            chandeli        2
2783            chandler        6
2784            chandrika       1
2785            chang           144
2786            changeov        9
2787            channel         18
2788            chant           31
2789            chao            36
2790            chaotic         7
2791            chap            2
2792            chapel          4
2793            chaplain        7
2794            chaplin         1
2795            chappaqua       11
2796            chapter         7
2797            char            3
2798            charact         13
2799            character       7
2800            characterist    5
2801            charad          1
2802            charg           193
2803            charisma        2
2804            charit          5
2805            chariti         5
2806            charl           24
2807            charleston      2
2808            charlestown     1
2809            charli          2
2810            charlott        2
2811            chart           2
2812            charter         7
2813            chase           22
2814            chasm           2
2815            chat            5
2816            chattanooga     1
2817            chatti          1
2818            chau            1
2819            chauffeur       1
2820            chavez          4
2821            cheap           1
2822            cheat           11
2823            chebeck         8
2824            chechnya        8
2825            check           40
2826            checker         1
2827            checkpoint      2
2828            checkup         3
2829            cheek           1
2830            cheer           34
2831            cheerlead       2
2832            chees           1
2833            chef            2
2834            chela           4
2835            chell           1
2836            chelsea         17
2837            chemic          7
2838            chemistri       3
2839            chemotherapi    1
2840            cheney          31
2841            cheri           12
2842            cherish         2
2843            chernomyrdin    2
2844            cheroke         3
2845            cheron          3
2846            cherri          2
2847            chesapeak       1
2848            chest           8
2849            chetna          1
2850            chetsov         1
2851            chew            1
2852            chi             25
2853            chic            1
2854            chicago         6
2855            chicken         2
2856            chide           1
2857            chief           196
2858            chiefli         3
2859            child           45
2860            childhood       4
2861            children        69
2862            chile           8
2863            chill           13
2864            chilli          5
2865            chillicoth      1
2866            china           31
2867            chinayugoslavia 2
2868            chines          10
2869            chineseamerican 2
2870            chinfo          4
2871            ching           1
2872            chink           1
2873            chino           1
2874            chip            8
2875            chirac          6
2876            chisel          1
2877            chizhov         1
2878            chizov          1
2879            chladkova       3
2880            chlorin         4
2881            chocol          1
2882            choi            1
2883            choic           41
2884            chok            1
2885            choke           7
2886            cholera         1
2887            chomp           1
2888            chon            1
2889            choos           18
2890            chopper         1
2891            chopstick       1
2892            choreograph     1
2893            chorichech      1
2894            choru           1
2895            chose           13
2896            chosen          14
2897            chouchescu      1
2898            chow            1
2899            chri            34
2900            chrisdorton     1
2901            christen        3
2902            christi         4
2903            christian       27
2904            christianchildrensfund 1
2905            christina       3
2906            christma        61
2907            christmasev     1
2908            christoph       17
2909            chronic         2
2910            chronicl        2
2911            chrysanthemum   1
2912            chu             1
2913            chubbi          2
2914            chuck           9
2915            chuckl          2
2916            chudakova       3
2917            chunk           4
2918            church          43
2919            churchvil       1
2920            churchworldservic 1
2921            cia             23
2922            cienfuego       1
2923            cigarett        2
2924            cinder          1
2925            cinderblock     3
2926            cinema          2
2927            circl           19
2928            circu           3
2929            circuit         8
2930            circul          8
2931            circumst        32
2932            circumstanti    2
2933            circumv         3
2934            cisnero         7
2935            ciss            1
2936            citadel         1
2937            citat           2
2938            cite            38
2939            citi            218
2940            citizen         73
2941            citizenri       2
2942            citizenship     10
2943            citywid         1
2944            civic           4
2945            civil           61
2946            civilian        52
2947            clad            1
2948            claiborn        1
2949            claim           129
2950            clair           6
2951            clamber         5
2952            clamor          3
2953            clandestin      2
2954            clap            1
2955            clarenc         1
2956            clarifi         3
2957            clariti         1
2958            clark           41
2959            clarkston       1
2960            clash           54
2961            clasp           1
2962            class           29
2963            classic         7
2964            classifi        36
2965            classmat        2
2966            classroom       2
2967            clavet          1
2968            claw            6
2969            clay            4
2970            claycourt       1
2971            clean           23
2972            cleanair        1
2973            cleanli         1
2974            cleans          6
2975            clear           187
2976            clearanc        5
2977            clearer         4
2978            clearest        1
2979            clearli         56
2980            cleavag         1
2981            cleaver         1
2982            clemenc         31
2983            clement         24
2984            clergi          2
2985            cleric          3
2986            clerk           6
2987            cleveland       1
2988            clever          4
2989            cleverli        1
2990            click           2
2991            client          9
2992            cliffhang       1
2993            clifford        2
2994            clijster        11
2995            climact         1
2996            climat          3
2997            climatecontrol  1
2998            climax          4
2999            climb           22
3000            clime           1
3001            clinch          2
3002            cling           8
3003            clinic          8
3004            clink           1
3005            clinton         271
3006            clintonesqu     1
3007            clintongor      1
3008            clintonit       1
3009            clintonlazio    2
3010            clip            2
3011            clister         1
3012            cloak           1
3013            clock           8
3014            clod            1
3015            clodfelt        4
3016            clog            1
3017            cloister        1
3018            cloner          1
3019            closabl         1
3020            close           252
3021            closeddoor      6
3022            closeknit       1
3023            closemouth      1
3024            closer          29
3025            closest         32
3026            closet          1
3027            closeup         1
3028            closhg          1
3029            closur          7
3030            cloth           44
3031            cloud           21
3032            cloudless       1
3033            clout           4
3034            clown           1
3035            clton           1
3036            club            15
3037            clue            27
3038            clump           1
3039            clumsi          1
3040            clung           2
3041            cluster         4
3042            clutch          4
3043            clyde           1
3044            cmc             1
3045            cmdr            35
3046            cnn             49
3047            co              8
3048            coach           15
3049            coachlight      8
3050            coal            31
3051            coalfir         1
3052            coalit          34
3053            coalitionbuild  1
3054            coalmin         1
3055            coast           106
3056            coastal         10
3057            coastlin        9
3058            coat            8
3059            coauthor        1
3060            coax            3
3061            cobar           1
3062            coburn          4
3063            coca            2
3064            cocain          8
3065            cochran         4
3066            cochranvil      1
3067            cock            6
3068            cocker          1
3069            cocktail        3
3070            coco            2
3071            cocoa           14
3072            cocodi          3
3073            code            7
3074            codefend        1
3075            codi            5
3076            codirector      1
3077            coercion        1
3078            coetzer         16
3079            coetzerhingi    2
3080            coexist         1
3081            coey            1
3082            coffe           25
3083            coffeepick      1
3084            coffeerel       1
3085            coffer          2
3086            coffield        1
3087            coffin          14
3088            cognac          1
3089            cohen           56
3090            coher           1
3091            cohes           3
3092            cohort          1
3093            coil            2
3094            coin            3
3095            coincid         6
3096            coincident      1
3097            cojustic        1
3098            coker           1
3099            coki            2
3100            col             18
3101            cold            43
3102            coldblood       1
3103            cole            290
3104            coleman         1
3105            coler           7
3106            colin           7
3107            colina          23
3108            collabor        3
3109            collag          1
3110            collaps         86
3111            collarpin       1
3112            collat          2
3113            colleagu        23
3114            collect         32
3115            collector       5
3116            colleg          34
3117            collegeag       1
3118            coller          4
3119            collid          7
3120            collin          2
3121            collis          20
3122            collus          1
3123            colo            9
3124            colobora        1
3125            colombia        10
3126            colombian       3
3127            colon           4
3128            coloni          20
3129            colonna         1
3130            color           13
3131            colorado        24
3132            columbia        14
3133            columbin        1
3134            column          7
3135            columnist       1
3136            com             35
3137            comasagua       5
3138            comb            10
3139            combat          22
3140            combin          20
3141            combrat         1
3142            come            264
3143            comeback        17
3144            comedian        1
3145            comefrombehind  1
3146            comen           1
3147            comfort         25
3148            comic           1
3149            command         127
3150            commando        5
3151            commemor        7
3152            commenc         1
3153            commend         3
3154            comment         82
3155            commentari      5
3156            commerc         10
3157            commerci        38
3158            comminut        1
3159            commiss         94
3160            commissari      2
3161            commission      15
3162            commit          89
3163            committe        79
3164            commod          11
3165            common          36
3166            commonli        5
3167            commonsens      3
3168            commot          1
3169            commun          113
3170            communiqu       5
3171            communist       58
3172            communistrul    1
3173            communistrun    1
3174            communistturnedsocialist 1
3175            commut          20
3176            compact         1
3177            compani         76
3178            companion       4
3179            companionship   4
3180            compar          31
3181            comparison      9
3182            compart         38
3183            compass         5
3184            compassion      3
3185            compel          10
3186            compens         3
3187            compensatori    1
3188            compet          16
3189            competit        22
3190            competitor      2
3191            compil          4
3192            complac         4
3193            complain        40
3194            complaint       21
3195            complement      2
3196            complet         104
3197            complex         41
3198            compli          5
3199            complianc       2
3200            complic         31
3201            compliment      5
3202            compon          2
3203            compos          1
3204            composit        4
3205            composur        5
3206            compound        30
3207            comprehend      1
3208            comprehens      5
3209            compress        1
3210            compris         3
3211            compromis       16
3212            compuls         1
3213            comput          22
3214            computerlink    1
3215            comrad          7
3216            con             4
3217            conceal         10
3218            conced          49
3219            conceiv         9
3220            concentr        20
3221            concept         7
3222            concern         105
3223            concernusa      1
3224            concert         7
3225            concess         16
3226            conchita        3
3227            concili         2
3228            conciliatori    3
3229            conclud         47
3230            conclus         31
3231            concret         38
3232            concur          1
3233            concuss         1
3234            condemn         24
3235            condit          138
3236            condol          15
3237            condoleezza     1
3238            condon          2
3239            conduct         51
3240            conduit         1
3241            confer          68
3242            confess         10
3243            confetti        6
3244            confettilik     1
3245            confettis       1
3246            confid          60
3247            confidenti      1
3248            configur        1
3249            confin          6
3250            confirm         117
3251            confisc         1
3252            conflict        46
3253            conform         1
3254            confound        2
3255            confront        39
3256            confus          22
3257            cong            1
3258            congeni         1
3259            congest         5
3260            congo           2
3261            congratul       29
3262            congreg         1
3263            congress        112
3264            congression     39
3265            congressman     42
3266            congressmen     1
3267            congresswoman   2
3268            conjunct        2
3269            conn            1
3270            connal          24
3271            connect         66
3272            connecticut     13
3273            connelli        1
3274            connett         1
3275            conni           7
3276            conniv          1
3277            connoli         1
3278            connolli        1
3279            connor          1
3280            conquer         1
3281            conqueror       3
3282            conquest        2
3283            conrad          6
3284            conscienc       3
3285            consciou        4
3286            conscious       2
3287            consecut        27
3288            consensu        9
3289            consent         2
3290            consequ         18
3291            consequenti     1
3292            conserv         19
3293            conservat       1
3294            conservationist 1
3295            consid          131
3296            consider        28
3297            consign         1
3298            consist         14
3299            consistu        1
3300            consol          8
3301            consolid        13
3302            consortium      7
3303            conspicu        2
3304            conspir         6
3305            conspiraci      18
3306            constant        10
3307            constantinescu  1
3308            constantli      10
3309            constern        1
3310            constitu        5
3311            constitut       105
3312            constrain       1
3313            constrict       1
3314            construct       30
3315            consul          10
3316            consular        3
3317            consult         20
3318            consum          4
3319            consumpt        1
3320            contact         38
3321            contain         46
3322            contamin        1
3323            contempl        4
3324            contemporari    2
3325            contempt        9
3326            contend         25
3327            content         20
3328            contenti        4
3329            contest         44
3330            context         10
3331            contin          6
3332            continent       1
3333            conting         4
3334            continu         230
3335            contort         1
3336            contract        26
3337            contractor      4
3338            contradict      6
3339            contrari        7
3340            contrast        5
3341            contribut       47
3342            contributor     5
3343            contrit         1
3344            contriv         1
3345            control         170
3346            controversi     34
3347            conven          8
3348            conveni         16
3349            convent         8
3350            converg         14
3351            convers         18
3352            convert         5
3353            convey          3
3354            convict         123
3355            convictsgetaway 1
3356            convinc         27
3357            convincingli    1
3358            convok          1
3359            convoy          14
3360            cooey           1
3361            cook            20
3362            cool            5
3363            cooler          2
3364            coolingoff      3
3365            coon            1
3366            cooper          77
3367            coopt           1
3368            coordin         27
3369            cop             1
3370            cope            9
3371            copi            19
3372            copper          2
3373            coproduct       6
3374            copsstyl        1
3375            cord            1
3376            cordial         3
3377            cordillera      1
3378            cordon          10
3379            core            10
3380            corech          1
3381            coretta         1
3382            corey           2
3383            cori            3
3384            corina          4
3385            corn            2
3386            cornahaim       1
3387            cornaheim       1
3388            cornard         1
3389            corner          34
3390            cornerston      1
3391            cornett         2
3392            corni           1
3393            cornwal         1
3394            corollari       1
3395            coron           2
3396            corp            16
3397            corpor          15
3398            corps           13
3399            corpu           1
3400            corral          1
3401            correct         24
3402            correctli       5
3403            correl          4
3404            correspond      26
3405            corridor        2
3406            corros          3
3407            corrug          1
3408            corrugatediron  1
3409            corrupt         78
3410            corzin          13
3411            cosbi           1
3412            cosic           1
3413            cosmeniov       1
3414            cosminov        1
3415            cost            41
3416            costa           4
3417            costello        1
3418            costelow        1
3419            costli          5
3420            costliest       3
3421            cot             4
3422            coteri          1
3423            cotibua         1
3424            coton           1
3425            cotton          7
3426            couch           2
3427            coue            1
3428            could           391
3429            couldnt         54
3430            coulibali       9
3431            council         43
3432            councilman      1
3433            counsel         24
3434            counselor       2
3435            count           79
3436            counter         19
3437            counterattack   4
3438            counterintellig 4
3439            counternarcot   1
3440            counterpart     5
3441            counterpunch    2
3442            counterrevolutionari 1
3443            counterterror   11
3444            counti          35
3445            countless       1
3446            countri         410
3447            countryman      7
3448            countrymen      8
3449            countrysid      15
3450            countryspan     1
3451            coup            43
3452            coupdetour      1
3453            coupl           40
3454            courag          11
3455            courier         3
3456            cours           62
3457            court           190
3458            courtappoint    2
3459            courtesi        1
3460            courthous       4
3461            courtland       1
3462            courtroom       7
3463            courtsid        2
3464            courtyard       6
3465            cousin          4
3466            coustunitza     1
3467            coven           1
3468            cover           66
3469            coverag         19
3470            coverdel        3
3471            coverup         1
3472            covic           3
3473            cow             7
3474            coward          2
3475            cowardli        15
3476            cowboy          3
3477            cower           3
3478            cowl            1
3479            cpn             2
3480            cpyemen         1
3481            crabbi          1
3482            crack           32
3483            crackdown       10
3484            crackl          2
3485            cradl           1
3486            craft           19
3487            crafti          2
3488            cragey          3
3489            craggi          1
3490            craig           13
3491            cram            3
3492            cramp           8
3493            crane           18
3494            cranni          1
3495            crap            1
3496            crash           85
3497            crater          6
3498            crave           2
3499            crawl           9
3500            crazi           7
3501            creak           1
3502            creaki          2
3503            cream           3
3504            creasingli      1
3505            creat           49
3506            creation        5
3507            creativ         2
3508            creator         1
3509            credenc         2
3510            credenti        16
3511            credibl         42
3512            credit          20
3513            creditor        4
3514            cree            1
3515            creed           2
3516            creek           1
3517            creep           5
3518            creepi          1
3519            cremat          4
3520            crematoria      1
3521            crematorium     1
3522            crept           6
3523            crescent        1
3524            crest           2
3525            crestfallen     1
3526            crevic          1
3527            crew            133
3528            crewman         4
3529            crewmemb        5
3530            crewmen         10
3531            cri             38
3532            crime           78
3533            crimefight      1
3534            crimin          105
3535            criminolog      1
3536            crippl          39
3537            crise           14
3538            crisi           54
3539            crisp           3
3540            cristo          1
3541            criteria        2
3542            critic          121
3543            croat           3
3544            croatia         14
3545            croatian        2
3546            croifl          1
3547            croni           18
3548            crook           7
3549            crop            3
3550            crosbi          5
3551            cross           43
3552            crosscourt      7
3553            crossfir        1
3554            crossleg        2
3555            crouch          12
3556            crous           1
3557            crow            1
3558            crowbar         6
3559            crowd           104
3560            crowdpleas      2
3561            crowley         10
3562            crown           8
3563            crucial         21
3564            crucifi         1
3565            crude           1
3566            crue            1
3567            cruel           3
3568            cruelti         3
3569            cruis           16
3570            cruiser         3
3571            cruman          1
3572            crumbl          21
3573            crumpl          3
3574            crusad          4
3575            crush           22
3576            crust           1
3577            crutch          6
3578            cruz            1
3579            crwrc           1
3580            cryptic         1
3581            crystal         2
3582            cuba            9
3583            cuban           2
3584            cubanamerican   2
3585            cue             1
3586            cuellar         6
3587            culdesac        1
3588            culmin          8
3589            culpabl         1
3590            culprit         9
3591            cultiv          2
3592            cultur          11
3593            cummin          2
3594            cun             5
3595            cuomo           3
3596            cup             9
3597            cupboard        1
3598            curb            4
3599            curdl           1
3600            cure            1
3601            curfew          10
3602            curios          2
3603            curiou          9
3604            currenc         2
3605            current         52
3606            curriculum      4
3607            curs            4
3608            cursori         1
3609            curt            2
3610            curtail         4
3611            curtain         3
3612            curti           3
3613            curv            3
3614            cush            2
3615            cusp            1
3616            cussin          2
3617            custodi         21
3618            custodian       3
3619            custom          9
3620            customari       2
3621            cut             113
3622            cutback         1
3623            cutigua         1
3624            cutter          7
3625            cybercaf        1
3626            cybernet        1
3627            cycl            3
3628            cyclon          1
3629            cylind          1
3630            cylindr         1
3631            cynic           9
3632            cypru           1
3633            cyr             1
3634            czarist         1
3635            czaristera      1
3636            czech           14
3637            czechoslovakian 1
3638            d               26
3639            da              2
3640            dad             11
3641            dada            1
3642            dadiv           1
3643            daejung         5
3644            daewoo          5
3645            dagestan        3
3646            dagger          3
3647            daili           29
3648            daja            2
3649            dakota          19
3650            dakotan         1
3651            dakouri         1
3652            dalal           1
3653            dale            2
3654            daley           7
3655            dalla           30
3656            dallasarea      5
3657            dallasbas       2
3658            dallasfort      2
3659            dalworthington  1
3660            dam             1
3661            damag           154
3662            damascu         2
3663            dame            1
3664            damir           3
3665            dammaj          1
3666            damor           1
3667            damp            1
3668            dampen          2
3669            dan             18
3670            dana            2
3671            danah           4
3672            danburi         1
3673            danc            11
3674            dancer          3
3675            dandelion       1
3676            dane            1
3677            danewich        1
3678            danforth        3
3679            danger          103
3680            dangl           2
3681            daniel          19
3682            daniela         6
3683            daniil          2
3684            danni           1
3685            danzig          4
3686            daoud           1
3687            dapist          1
3688            dar             5
3689            darden          1
3690            dare            15
3691            daren           7
3692            dark            28
3693            darken          3
3694            darkhair        2
3695            darl            1
3696            darn            1
3697            darrel          2
3698            dart            1
3699            darwinian       1
3700            daschl          11
3701            dash            4
3702            dashboard       1
3703            data            4
3704            date            27
3705            datelin         7
3706            daughter        54
3707            daughterinlaw   2
3708            daunt           6
3709            dave            18
3710            davenport       44
3711            davi            4
3712            david           58
3713            davidian        2
3714            davidstyl       1
3715            dawn            21
3716            day             456
3717            daybreak        3
3718            daybyday        1
3719            dayeb           1
3720            daylight        4
3721            daytoday        2
3722            dayton          9
3723            daytona         1
3724            daytonhudson    3
3725            daze            4
3726            dazesurvivor    1
3727            dc              6
3728            dc10            1
3729            dcalif          1
3730            dconn           3
3731            dd21            1
3732            dday            1
3733            ddg67           7
3734            de              17
3735            dea             1
3736            deactiv         2
3737            dead            164
3738            deadli          53
3739            deadliest       16
3740            deadlin         13
3741            deadlock        3
3742            deadon          1
3743            deaf            1
3744            deal            98
3745            dealt           6
3746            dean            5
3747            dear            5
3748            dearborn        1
3749            dearli          3
3750            death           210
3751            deathdefi       1
3752            deathrow        1
3753            debar           1
3754            debat           65
3755            debbi           5
3756            deborah         3
3757            debra           2
3758            debri           47
3759            debt            14
3760            debut           1
3761            dec             48
3762            decad           81
3763            decadesold      2
3764            decay           2
3765            deceas          8
3766            deceit          1
3767            decemb          79
3768            decent          2
3769            decentr         3
3770            decept          1
3771            decibel         1
3772            decid           103
3773            decidedli       1
3774            decis           173
3775            decisionmak     2
3776            deck            44
3777            declar          99
3778            declassifi      2
3779            declin          48
3780            decod           2
3781            decompos        1
3782            decor           2
3783            decrat          2
3784            decre           2
3785            decri           3
3786            ded             1
3787            dedic           9
3788            dedinj          5
3789            dee             1
3790            deed            3
3791            deem            8
3792            deep            42
3793            deepen          5
3794            deeper          3
3795            deepest         1
3796            deepli          23
3797            deepsea         4
3798            deepseat        2
3799            deepwat         6
3800            defac           1
3801            default         3
3802            defeat          143
3803            defect          2
3804            defenc          3
3805            defend          121
3806            defens          153
3807            defenselink     3
3808            defer           2
3809            defi            5
3810            defianc         7
3811            defiant         6
3812            defiantli       2
3813            defici          1
3814            deficit         11
3815            defin           7
3816            definit         37
3817            deflat          1
3818            deflect         5
3819            defoli          1
3820            defolt          1
3821            deforest        10
3822            defraud         3
3823            defunct         1
3824            defus           3
3825            degr            1
3826            degrad          4
3827            degre           23
3828            dehuman         1
3829            dehydr          3
3830            del             11
3831            delawar         25
3832            delay           34
3833            deleg           10
3834            delhi           17
3835            deli            1
3836            deliber         15
3837            delic           7
3838            delici          1
3839            delight         5
3840            deliv           36
3841            deliveri        2
3842            dell            1
3843            delsaut         2
3844            delta           9
3845            delus           2
3846            delv            1
3847            demaci          1
3848            demagogu        2
3849            demand          75
3850            demarc          1
3851            demean          1
3852            demeanor        2
3853            dementieva      5
3854            demick          1
3855            demilitar       1
3856            demis           6
3857            democraci       72
3858            democrat        188
3859            democratich     1
3860            demograph       1
3861            demolish        4
3862            demolit         5
3863            demon           4
3864            demonstr        88
3865            demot           2
3866            demur           1
3867            demystifi       1
3868            dengu           1
3869            deni            95
3870            denial          5
3871            denigr          1
3872            denis           14
3873            denisa          3
3874            denn            1
3875            denni           8
3876            denomin         1
3877            denounc         13
3878            dens            4
3879            dent            2
3880            dental          1
3881            denver          21
3882            depart          180
3883            departur        20
3884            depend          34
3885            depict          1
3886            deplan          1
3887            deplet          2
3888            deplor          2
3889            deploy          22
3890            deport          3
3891            deportieren     1
3892            depos           7
3893            deposit         4
3894            depot           4
3895            depress         3
3896            depriv          1
3897            dept            1
3898            depth           12
3899            deputi          46
3900            dequia          2
3901            derail          1
3902            derelict        1
3903            deriv           3
3904            desai           1
3905            descend         18
3906            descent         9
3907            describ         80
3908            descript        8
3909            desegreg        1
3910            desert          31
3911            desertstyl      3
3912            deserv          15
3913            deservedli      2
3914            design          34
3915            designe         1
3916            desir           15
3917            desirepaulin    1
3918            desist          3
3919            desk            6
3920            desol           1
3921            despair         6
3922            desper          39
3923            despic          12
3924            despis          3
3925            despit          116
3926            despot          1
3927            destabil        3
3928            destin          10
3929            destini         1
3930            destitut        1
3931            destroy         227
3932            destruct        27
3933            desvid          1
3934            detach          3
3935            detail          89
3936            detain          31
3937            detaine         2
3938            detat           7
3939            detect          14
3940            detector        1
3941            detent          10
3942            deter           15
3943            deterg          1
3944            deterior        11
3945            determin        101
3946            deterr          2
3947            detest          1
3948            deton           30
3949            detour          4
3950            detritu         1
3951            detroit         3
3952            deuc            12
3953            deutch          8
3954            deutsch         1
3955            devast          58
3956            devastatingli   1
3957            develop         97
3958            deviat          1
3959            devic           15
3960            devilish        1
3961            devis           1
3962            devot           15
3963            devour          2
3964            devoutli        1
3965            dewat           2
3966            dewin           2
3967            dga             2
3968            dhabi           4
3969            dhahran         12
3970            dharan          1
3971            dhingra         1
3972            dhrumal         1
3973            diabak          1
3974            diagnos         5
3975            diagnosi        1
3976            diagnost        1
3977            diagnostico     1
3978            diagram         1
3979            dialect         1
3980            diallo          2
3981            dialo           3
3982            dialogu         8
3983            diamet          3
3984            diamond         3
3985            dian            2
3986            diann           3
3987            diari           1
3988            diarrhea        2
3989            diaz            2
3990            dick            36
3991            dickinson       1
3992            dictablanda     1
3993            dictadura       1
3994            dictat          29
3995            dictatori       3
3996            dictatorship    10
3997            diction         4
3998            dictionari      1
3999            dictment        1
4000            didnt           128
4001            die             192
4002            diego           5
4003            dienstbier      2
4004            diesel          2
4005            diet            3
4006            differ          107
4007            difficult       84
4008            difficulti      21
